1,0,382.00,192.00,147.00,474.00,1.0,-1,-1,-1
2,0,382.00,193.00,151.00,472.00,1.0,-1,-1,-1
3,0,381.00,193.00,152.00,471.00,1.0,-1,-1,-1
4,0,383.00,193.00,146.00,471.00,1.0,-1,-1,-1
5,0,382.00,192.00,143.00,472.00,1.0,-1,-1,-1
6,0,383.00,192.00,140.00,472.00,1.0,-1,-1,-1
7,0,383.00,192.00,139.00,472.00,1.0,-1,-1,-1
8,0,383.00,192.00,138.00,473.00,1.0,-1,-1,-1
9,0,382.00,192.00,138.00,477.00,1.0,-1,-1,-1
10,0,380.00,191.00,139.00,479.00,1.0,-1,-1,-1
11,0,377.00,191.00,143.00,479.00,1.0,-1,-1,-1
12,0,373.00,191.00,151.00,479.00,1.0,-1,-1,-1
13,0,369.00,190.00,156.00,481.00,1.0,-1,-1,-1
13,1,1297.00,162.00,93.00,477.00,1.0,-1,-1,-1
14,0,367.00,190.00,158.00,481.00,1.0,-1,-1,-1
14,1,1238.00,169.00,152.00,471.00,1.0,-1,-1,-1
15,0,363.00,190.00,158.00,481.00,1.0,-1,-1,-1
15,1,1218.00,174.00,172.00,469.00,1.0,-1,-1,-1
16,0,361.00,188.00,153.00,483.00,1.0,-1,-1,-1
16,1,1211.00,176.00,179.00,468.00,1.0,-1,-1,-1
17,0,361.00,187.00,145.00,484.00,1.0,-1,-1,-1
17,1,1210.00,173.00,180.00,471.00,1.0,-1,-1,-1
18,0,359.00,187.00,151.00,485.00,1.0,-1,-1,-1
18,1,1210.00,168.00,180.00,477.00,1.0,-1,-1,-1
19,0,359.00,186.00,158.00,485.00,1.0,-1,-1,-1
19,1,1210.00,167.00,147.00,478.00,1.0,-1,-1,-1
20,0,359.00,187.00,161.00,484.00,1.0,-1,-1,-1
20,1,1195.00,164.00,130.00,488.00,1.0,-1,-1,-1
21,0,358.00,187.00,165.00,484.00,1.0,-1,-1,-1
21,1,1137.00,168.00,167.00,487.00,1.0,-1,-1,-1
22,0,358.00,187.00,165.00,485.00,1.0,-1,-1,-1
22,1,1080.00,170.00,209.00,483.00,1.0,-1,-1,-1
23,0,357.00,187.00,165.00,485.00,1.0,-1,-1,-1
23,1,1057.00,176.00,232.00,478.00,1.0,-1,-1,-1
24,0,358.00,188.00,160.00,483.00,1.0,-1,-1,-1
24,1,1052.00,175.00,228.00,482.00,1.0,-1,-1,-1
25,0,358.00,188.00,155.00,484.00,1.0,-1,-1,-1
25,1,1052.00,172.00,191.00,486.00,1.0,-1,-1,-1
26,0,359.00,188.00,150.00,484.00,1.0,-1,-1,-1
26,1,1052.00,172.00,146.00,486.00,1.0,-1,-1,-1
27,0,359.00,189.00,143.00,483.00,1.0,-1,-1,-1
27,1,1026.00,170.00,145.00,488.00,1.0,-1,-1,-1
28,0,360.00,190.00,142.00,482.00,1.0,-1,-1,-1
28,1,1001.00,169.00,152.00,490.00,1.0,-1,-1,-1
29,0,360.00,191.00,141.00,482.00,1.0,-1,-1,-1
29,1,936.00,172.00,199.00,487.00,1.0,-1,-1,-1
30,0,361.00,192.00,141.00,481.00,1.0,-1,-1,-1
30,1,893.00,176.00,237.00,484.00,1.0,-1,-1,-1
31,0,362.00,193.00,141.00,480.00,1.0,-1,-1,-1
31,1,879.00,179.00,252.00,481.00,1.0,-1,-1,-1
32,0,361.00,193.00,143.00,480.00,1.0,-1,-1,-1
32,1,876.00,179.00,253.00,481.00,1.0,-1,-1,-1
33,0,362.00,193.00,143.00,480.00,1.0,-1,-1,-1
33,1,876.00,176.00,238.00,483.00,1.0,-1,-1,-1
34,0,364.00,195.00,142.00,478.00,1.0,-1,-1,-1
34,1,876.00,172.00,204.00,483.00,1.0,-1,-1,-1
